source,infidelity_contribution,cumulative_fidelity
state_preparation,0.02,0.98
single_qubit_errors,0.00114,0.9788827999999999
CNOT_gate_errors,0.0191,0.9601861385199999
T1_decay,0.030939827434539047,0.9304781450891547
T2_dephasing,0.02804743374541596,0.9043806209632091
readout_errors,0.0518,0.8575337047973149
leakage,0.0115,0.8476720671921458
crosstalk,0.022321699935695535,0.828750585664412
one_over_f_noise,8.527755660037162e-05,0.8286799118394353
coherent_errors,3e-06,0.8286774257996998
